content_type,category,reaction_type,new_datetime,Score
photo,"healthy eating",heart,2020-12-25,60
photo,"healthy eating",like,2021-06-14,50
photo,"healthy eating",like,2021-06-05,50
photo,"healthy eating",hate,2020-11-18,5
photo,"healthy eating",interested,2021-05-09,30
photo,"healthy eating",dislike,2021-05-11,10
photo,"healthy eating",peeking,2020-11-12,35
photo,"healthy eating",heart,2020-06-21,60
photo,"healthy eating","super love",2021-03-04,75
photo,"healthy eating",want,2020-07-09,70
photo,"healthy eating",hate,2020-08-01,5
photo,"healthy eating",dislike,2020-11-23,10
photo,"healthy eating",scared,2020-12-11,15
photo,"healthy eating",dislike,2021-04-23,10
photo,"healthy eating",want,2020-11-13,70
photo,"healthy eating",interested,2021-06-09,30
photo,"healthy eating",love,2020-10-29,65
photo,"healthy eating",heart,2021-05-14,60
photo,"healthy eating",adore,2020-08-07,72
photo,"healthy eating",adore,2020-10-23,72
photo,"healthy eating",adore,2020-11-14,72
photo,"healthy eating",worried,2020-08-04,12
photo,"healthy eating",interested,2020-11-12,30
photo,technology,worried,2021-04-03,12
photo,technology,want,2020-09-27,70
photo,technology,heart,2020-10-27,60
photo,technology,scared,2020-10-15,15
photo,technology,heart,2021-05-07,60
photo,technology,hate,2020-09-16,5
photo,technology,indifferent,2020-10-29,20
video,food,scared,2021-05-24,15
GIF,cooking,interested,2021-02-25,30
GIF,cooking,hate,2021-05-02,5
GIF,cooking,want,2021-01-28,70
GIF,cooking,peeking,2021-02-15,35
GIF,cooking,dislike,2020-11-04,10
GIF,cooking,love,2020-06-23,65
GIF,cooking,cherish,2021-02-16,70
GIF,cooking,interested,2021-01-03,30
GIF,cooking,adore,2020-11-25,72
GIF,cooking,like,2020-12-03,50
GIF,cooking,like,2021-05-22,50
GIF,cooking,cherish,2021-01-18,70
GIF,cooking,indifferent,2021-01-06,20
GIF,cooking,adore,2021-05-14,72
GIF,cooking,worried,2021-05-27,12
GIF,cooking,peeking,2020-07-21,35
GIF,cooking,dislike,2021-05-26,10
GIF,cooking,dislike,2021-02-25,10
GIF,cooking,intrigued,2020-12-07,45
GIF,cooking,indifferent,2020-10-24,20
GIF,cooking,peeking,2020-09-01,35
GIF,cooking,adore,2021-05-10,72
video,dogs,cherish,2021-02-12,70
video,dogs,heart,2021-04-28,60
video,dogs,intrigued,2021-01-24,45
video,dogs,worried,2021-03-18,12
video,dogs,heart,2020-12-23,60
video,dogs,hate,2021-05-21,5
video,dogs,like,2021-03-28,50
video,dogs,peeking,2020-09-16,35
video,dogs,indifferent,2020-11-08,20
video,dogs,heart,2021-03-06,60
video,dogs,want,2020-09-06,70
video,dogs,interested,2020-06-24,30
video,dogs,hate,2021-02-07,5
video,dogs,intrigued,2021-01-21,45
video,dogs,dislike,2021-02-27,10
video,dogs,worried,2020-08-22,12
video,dogs,cherish,2020-08-03,70
video,dogs,scared,2020-08-02,15
video,dogs,want,2021-06-04,70
video,dogs,"super love",2020-10-21,75
video,dogs,dislike,2020-12-26,10
video,dogs,scared,2021-03-02,15
video,dogs,indifferent,2021-03-31,20
video,dogs,interested,2021-06-14,30
video,dogs,scared,2020-12-27,15
video,dogs,scared,2021-02-11,15
video,dogs,interested,2020-12-07,30
video,dogs,interested,2020-12-28,30
video,dogs,interested,2020-10-26,30
video,dogs,worried,2020-09-26,12
video,dogs,scared,2020-11-25,15
video,dogs,heart,2020-07-11,60
video,dogs,heart,2021-03-19,60
video,dogs,interested,2020-10-11,30
video,dogs,heart,2020-11-02,60
video,dogs,want,2020-10-01,70
video,dogs,want,2021-02-07,70
video,dogs,hate,2020-10-17,5
video,dogs,like,2020-08-09,50
video,dogs,love,2021-02-01,65
video,dogs,adore,2021-01-30,72
video,technology,want,2021-03-31,70
video,technology,"super love",2021-02-05,75
video,technology,heart,2021-02-19,60
video,technology,worried,2020-07-25,12
photo,soccer,adore,2020-07-13,72
photo,soccer,indifferent,2021-01-13,20
photo,soccer,worried,2021-01-02,12
photo,soccer,intrigued,2020-11-26,45
photo,soccer,want,2020-08-25,70
photo,soccer,hate,2021-02-01,5
photo,soccer,love,2021-06-04,65
photo,soccer,adore,2020-08-19,72
photo,soccer,cherish,2021-04-22,70
photo,soccer,"super love",2020-06-26,75
photo,soccer,like,2020-08-15,50
photo,soccer,love,2020-11-26,65
photo,"public speaking",want,2021-04-14,70
photo,"public speaking",indifferent,2020-07-21,20
photo,"public speaking",dislike,2021-03-29,10
photo,"public speaking",want,2021-05-20,70
photo,"public speaking",like,2020-11-02,50
photo,"public speaking",indifferent,2020-10-24,20
photo,"public speaking",heart,2020-09-07,60
photo,"public speaking",scared,2021-03-04,15
photo,"public speaking",adore,2021-01-07,72
photo,"public speaking",peeking,2020-07-06,35
photo,"public speaking",like,2021-03-27,50
photo,"public speaking",intrigued,2020-11-21,45
photo,"public speaking",cherish,2020-08-22,70
photo,"public speaking",peeking,2021-06-14,35
photo,"public speaking",worried,2020-07-15,12
photo,"public speaking",intrigued,2021-03-21,45
photo,"public speaking","super love",2021-04-07,75
photo,"public speaking",cherish,2021-04-24,70
photo,"public speaking",heart,2020-09-30,60
photo,"public speaking",heart,2020-07-19,60
photo,"public speaking",scared,2021-01-21,15
photo,"public speaking",scared,2021-01-31,15
photo,"public speaking",hate,2020-12-24,5
photo,"public speaking",adore,2020-07-14,72
photo,"public speaking",dislike,2020-07-15,10
photo,"public speaking",like,2020-10-08,50
photo,"public speaking",heart,2020-11-12,60
photo,"public speaking",want,2021-02-21,70
photo,"public speaking",intrigued,2020-07-09,45
photo,"public speaking",adore,2020-06-26,72
photo,"public speaking",worried,2020-11-20,12
photo,"public speaking",like,2021-05-29,50
photo,"public speaking",indifferent,2021-02-22,20
photo,"public speaking",scared,2021-01-07,15
photo,"public speaking",adore,2020-10-01,72
photo,"public speaking",hate,2020-11-21,5
photo,"public speaking",scared,2021-04-15,15
photo,"public speaking",love,2020-06-30,65
photo,"public speaking",want,2020-12-01,70
photo,"public speaking",scared,2020-11-07,15
GIF,science,"super love",2020-06-30,75
GIF,science,heart,2020-08-04,60
GIF,science,intrigued,2020-07-28,45
GIF,science,"super love",2020-10-25,75
GIF,science,worried,2020-07-05,12
GIF,science,cherish,2021-04-28,70
GIF,science,indifferent,2021-01-31,20
GIF,science,adore,2020-08-29,72
GIF,science,intrigued,2020-10-15,45
GIF,science,love,2020-08-02,65
GIF,science,scared,2020-10-31,15
GIF,science,heart,2020-10-12,60
GIF,science,want,2020-12-12,70
GIF,science,like,2021-01-09,50
GIF,science,hate,2020-08-23,5
GIF,science,love,2020-12-22,65
GIF,science,adore,2021-04-17,72
GIF,science,scared,2021-04-21,15
GIF,science,intrigued,2020-07-19,45
GIF,science,intrigued,2020-07-06,45
GIF,science,love,2021-03-26,65
GIF,tennis,cherish,2020-09-13,70
GIF,tennis,worried,2021-01-28,12
GIF,tennis,indifferent,2021-01-20,20
GIF,tennis,"super love",2020-09-03,75
GIF,tennis,worried,2021-01-09,12
GIF,tennis,indifferent,2020-09-19,20
GIF,tennis,"super love",2021-05-29,75
GIF,tennis,worried,2021-05-15,12
GIF,tennis,intrigued,2020-08-15,45
GIF,tennis,peeking,2021-02-15,35
GIF,tennis,scared,2021-03-29,15
GIF,tennis,scared,2020-07-29,15
GIF,tennis,hate,2021-05-08,5
GIF,tennis,heart,2020-11-06,60
GIF,tennis,"super love",2020-07-25,75
GIF,tennis,worried,2020-12-04,12
GIF,tennis,"super love",2020-09-22,75
GIF,tennis,hate,2020-07-05,5
GIF,tennis,want,2020-10-20,70
GIF,tennis,heart,2021-01-11,60
GIF,tennis,want,2021-02-28,70
GIF,tennis,intrigued,2020-12-06,45
GIF,tennis,peeking,2021-05-05,35
GIF,tennis,interested,2020-08-27,30
GIF,tennis,heart,2020-10-15,60
GIF,tennis,peeking,2021-01-15,35
GIF,tennis,intrigued,2021-03-01,45
GIF,tennis,peeking,2020-11-28,35
GIF,tennis,heart,2020-06-26,60
GIF,tennis,cherish,2020-12-30,70
GIF,tennis,"super love",2021-02-14,75
GIF,tennis,cherish,2021-03-27,70
GIF,tennis,dislike,2020-08-23,10
GIF,tennis,heart,2020-11-09,60
GIF,tennis,hate,2021-05-12,5
GIF,tennis,hate,2021-04-15,5
GIF,tennis,peeking,2020-08-16,35
GIF,tennis,intrigued,2021-04-13,45
GIF,tennis,cherish,2020-12-13,70
GIF,tennis,dislike,2020-12-03,10
GIF,tennis,want,2020-12-04,70
GIF,tennis,peeking,2021-01-25,35
GIF,tennis,hate,2021-05-04,5
video,food,love,2021-01-06,65
video,food,worried,2020-10-21,12
video,food,worried,2021-02-23,12
video,food,"super love",2021-01-26,75
video,food,peeking,2020-12-18,35
video,food,indifferent,2021-05-23,20
video,food,worried,2020-10-31,12
video,food,indifferent,2021-02-20,20
video,food,"super love",2020-10-28,75
video,food,peeking,2020-08-30,35
video,food,scared,2020-11-04,15
video,food,scared,2020-08-24,15
video,food,adore,2021-02-28,72
video,food,dislike,2020-09-22,10
video,food,love,2020-10-26,65
video,food,heart,2020-11-04,60
video,food,love,2021-05-31,65
video,food,peeking,2021-03-07,35
video,food,intrigued,2021-06-17,45
video,food,intrigued,2020-07-27,45
video,food,like,2020-10-05,50
video,food,"super love",2020-09-28,75
video,food,dislike,2021-02-25,10
video,food,heart,2020-12-24,60
video,food,heart,2021-06-15,60
video,food,dislike,2021-05-03,10
video,food,intrigued,2021-02-12,45
video,food,adore,2020-08-31,72
video,food,indifferent,2021-01-11,20
video,food,"super love",2020-08-02,75
video,food,peeking,2021-03-28,35
video,food,"super love",2021-02-11,75
video,food,heart,2020-08-12,60
video,food,scared,2021-01-07,15
video,food,interested,2020-10-27,30
video,food,scared,2021-02-19,15
video,food,"super love",2021-06-08,75
video,food,like,2020-10-18,50
video,food,"super love",2020-11-05,75
video,food,intrigued,2020-08-16,45
video,food,scared,2020-10-14,15
video,food,peeking,2021-04-01,35
video,food,like,2020-09-25,50
audio,travel,intrigued,2021-03-03,45
GIF,fitness,interested,2020-10-30,30
GIF,fitness,like,2021-02-12,50
GIF,fitness,interested,2021-04-02,30
GIF,fitness,worried,2020-06-30,12
GIF,fitness,worried,2020-10-22,12
GIF,fitness,indifferent,2021-06-16,20
GIF,fitness,cherish,2020-08-10,70
GIF,soccer,adore,2020-07-26,72
GIF,soccer,interested,2020-12-12,30
GIF,soccer,want,2020-08-21,70
GIF,soccer,indifferent,2021-05-31,20
GIF,soccer,indifferent,2021-02-14,20
video,"public speaking",hate,2020-09-08,5
video,"public speaking",worried,2020-10-28,12
video,"public speaking",interested,2020-11-21,30
video,"public speaking",scared,2020-10-16,15
video,"public speaking",hate,2021-01-08,5
video,"public speaking",want,2020-09-07,70
video,"public speaking",hate,2021-01-26,5
video,"public speaking",worried,2020-09-15,12
video,"public speaking",love,2020-11-09,65
video,"public speaking",like,2020-09-03,50
video,"public speaking",indifferent,2021-02-01,20
video,"public speaking",want,2021-04-14,70
video,"public speaking",love,2021-01-12,65
video,"public speaking",dislike,2020-11-02,10
video,"public speaking",heart,2021-03-08,60
video,"public speaking",want,2020-09-14,70
video,"public speaking",dislike,2020-07-28,10
video,"public speaking",want,2020-06-30,70
video,"public speaking",adore,2021-01-26,72
video,"public speaking",cherish,2020-06-30,70
video,"public speaking",adore,2021-05-19,72
video,"public speaking",want,2021-03-11,70
video,"public speaking",want,2020-10-17,70
video,"public speaking",adore,2021-04-12,72
video,"public speaking",hate,2020-11-25,5
video,"public speaking",peeking,2021-05-20,35
video,"public speaking",hate,2020-09-30,5
video,"public speaking","super love",2020-10-07,75
video,"public speaking",scared,2020-10-07,15
video,"public speaking",scared,2021-01-11,15
video,"public speaking",scared,2021-05-21,15
video,"public speaking",intrigued,2020-11-14,45
video,"public speaking","super love",2021-05-05,75
video,"public speaking",interested,2020-08-17,30
video,"public speaking",intrigued,2020-12-31,45
video,food,hate,2020-10-05,5
video,food,cherish,2021-05-28,70
video,food,hate,2021-01-12,5
video,food,scared,2021-02-20,15
video,food,intrigued,2020-07-14,45
video,food,worried,2021-06-05,12
video,food,want,2021-03-23,70
video,food,cherish,2021-05-18,70
video,food,scared,2020-08-31,15
video,food,like,2021-06-04,50
video,food,dislike,2021-05-29,10
video,food,interested,2020-07-18,30
video,food,adore,2020-11-07,72
video,food,like,2020-08-11,50
video,food,dislike,2020-07-24,10
video,food,scared,2020-10-08,15
video,food,indifferent,2021-02-05,20
video,food,indifferent,2020-11-09,20
video,food,interested,2020-07-26,30
video,food,like,2021-05-19,50
video,food,"super love",2020-11-15,75
video,food,worried,2021-02-04,12
video,food,intrigued,2020-08-01,45
video,food,"super love",2020-09-22,75
video,tennis,adore,2021-05-21,72
video,tennis,peeking,2021-02-25,35
video,tennis,worried,2021-04-06,12
video,tennis,worried,2021-04-05,12
video,tennis,heart,2021-03-06,60
video,tennis,hate,2020-10-12,5
video,tennis,like,2020-11-14,50
video,tennis,scared,2021-06-07,15
video,tennis,hate,2021-02-13,5
video,tennis,love,2021-05-08,65
video,tennis,scared,2020-11-20,15
video,tennis,want,2020-07-18,70
video,tennis,love,2020-08-27,65
video,tennis,dislike,2020-09-29,10
video,tennis,like,2020-08-17,50
video,tennis,want,2020-08-16,70
video,tennis,like,2020-07-06,50
video,tennis,heart,2020-07-22,60
video,tennis,scared,2021-05-16,15
video,tennis,love,2021-05-20,65
video,tennis,hate,2021-02-11,5
video,tennis,intrigued,2020-08-03,45
video,tennis,want,2020-09-18,70
video,tennis,hate,2021-03-27,5
video,tennis,dislike,2020-07-13,10
video,tennis,"super love",2021-01-19,75
video,tennis,want,2021-04-30,70
video,tennis,like,2021-04-04,50
video,tennis,indifferent,2021-02-03,20
video,tennis,interested,2020-11-07,30
video,tennis,dislike,2020-12-22,10
video,tennis,indifferent,2021-03-20,20
video,tennis,intrigued,2020-08-14,45
video,tennis,intrigued,2020-09-20,45
video,tennis,scared,2020-12-20,15
video,tennis,adore,2021-05-08,72
video,tennis,peeking,2020-10-23,35
video,tennis,cherish,2021-05-23,70
video,tennis,love,2020-11-27,65
video,tennis,"super love",2021-04-16,75
video,tennis,hate,2021-05-29,5
GIF,soccer,worried,2020-10-27,12
GIF,soccer,intrigued,2021-04-03,45
GIF,soccer,dislike,2020-06-29,10
GIF,soccer,hate,2020-09-24,5
GIF,soccer,cherish,2021-05-11,70
GIF,soccer,indifferent,2021-04-02,20
GIF,soccer,cherish,2020-09-22,70
GIF,soccer,scared,2020-08-05,15
GIF,soccer,indifferent,2020-12-15,20
GIF,soccer,love,2021-05-28,65
GIF,soccer,love,2021-06-09,65
GIF,soccer,cherish,2020-09-07,70
GIF,soccer,dislike,2020-08-08,10
GIF,soccer,like,2020-12-19,50
GIF,soccer,hate,2021-05-24,5
GIF,soccer,worried,2021-01-26,12
GIF,soccer,"super love",2020-10-30,75
GIF,soccer,heart,2021-06-13,60
GIF,soccer,interested,2020-12-18,30
GIF,soccer,scared,2020-07-21,15
GIF,soccer,like,2021-02-05,50
GIF,soccer,cherish,2020-12-10,70
GIF,soccer,love,2020-09-26,65
GIF,soccer,want,2021-01-13,70
GIF,soccer,like,2020-11-12,50
GIF,soccer,heart,2021-05-18,60
GIF,soccer,"super love",2021-06-12,75
GIF,soccer,"super love",2020-08-02,75
GIF,soccer,hate,2021-04-14,5
GIF,soccer,indifferent,2020-08-24,20
GIF,soccer,like,2020-10-07,50
GIF,soccer,like,2021-03-11,50
GIF,soccer,peeking,2021-01-03,35
GIF,soccer,peeking,2021-05-30,35
GIF,soccer,interested,2021-04-27,30
GIF,soccer,indifferent,2021-04-13,20
GIF,soccer,indifferent,2021-03-13,20
GIF,soccer,adore,2020-09-07,72
GIF,soccer,interested,2021-02-06,30
GIF,soccer,scared,2021-05-18,15
GIF,soccer,"super love",2021-04-25,75
GIF,soccer,dislike,2021-02-28,10
GIF,soccer,peeking,2021-05-24,35
GIF,soccer,intrigued,2021-01-25,45
GIF,soccer,interested,2020-11-16,30
GIF,soccer,dislike,2020-10-25,10
GIF,soccer,interested,2021-04-18,30
GIF,soccer,indifferent,2021-06-03,20
GIF,soccer,love,2020-10-26,65
GIF,soccer,indifferent,2020-09-08,20
GIF,soccer,dislike,2020-12-02,10
GIF,soccer,adore,2020-11-18,72
GIF,soccer,adore,2021-05-25,72
GIF,soccer,indifferent,2021-04-26,20
GIF,soccer,peeking,2021-01-30,35
GIF,soccer,peeking,2020-07-23,35
GIF,soccer,cherish,2020-12-06,70
GIF,soccer,cherish,2021-06-13,70
GIF,soccer,intrigued,2021-01-23,45
GIF,soccer,intrigued,2020-07-14,45
GIF,soccer,heart,2021-04-23,60
video,education,interested,2020-08-22,30
video,education,like,2021-04-03,50
video,education,cherish,2021-04-14,70
video,education,adore,2021-04-15,72
video,education,want,2021-05-23,70
video,education,dislike,2020-10-03,10
video,education,like,2020-08-09,50
video,education,want,2020-12-16,70
video,education,"super love",2021-04-28,75
video,education,scared,2021-03-31,15
video,education,cherish,2021-03-12,70
video,education,love,2021-06-16,65
video,education,like,2021-06-03,50
video,education,dislike,2021-04-19,10
video,education,heart,2021-03-25,60
video,education,indifferent,2020-12-04,20
video,education,interested,2020-12-17,30
video,education,interested,2020-07-22,30
photo,studying,want,2020-09-11,70
photo,studying,"super love",2021-04-30,75
photo,studying,scared,2020-12-13,15
photo,studying,love,2021-03-28,65
photo,studying,hate,2021-03-23,5
photo,studying,cherish,2020-08-01,70
photo,studying,adore,2021-05-02,72
photo,studying,love,2021-06-09,65
photo,studying,dislike,2020-08-27,10
photo,studying,intrigued,2021-04-12,45
photo,studying,adore,2020-07-06,72
photo,studying,hate,2021-01-22,5
photo,studying,hate,2021-05-24,5
photo,studying,cherish,2021-06-11,70
photo,studying,like,2021-04-27,50
photo,studying,love,2021-03-06,65
photo,studying,heart,2020-11-17,60
photo,studying,indifferent,2021-05-30,20
photo,studying,worried,2021-01-17,12
photo,studying,adore,2021-05-11,72
photo,studying,peeking,2020-09-06,35
photo,studying,love,2020-12-04,65
photo,studying,worried,2020-07-12,12
photo,studying,indifferent,2021-01-09,20
photo,studying,intrigued,2021-06-14,45
photo,studying,heart,2021-04-05,60
photo,studying,love,2020-09-10,65
photo,studying,scared,2021-03-17,15
photo,studying,scared,2020-12-18,15
photo,studying,love,2021-03-02,65
photo,studying,like,2021-01-08,50
photo,studying,scared,2020-10-11,15
photo,studying,heart,2021-02-01,60
photo,studying,like,2020-08-09,50
photo,studying,worried,2021-02-23,12
photo,studying,scared,2021-06-02,15
photo,studying,heart,2021-01-08,60
photo,studying,like,2020-12-03,50
photo,studying,cherish,2020-11-11,70
photo,studying,intrigued,2021-04-10,45
photo,studying,indifferent,2021-02-25,20
photo,studying,peeking,2020-11-30,35
photo,studying,hate,2020-11-25,5
photo,studying,adore,2021-06-08,72
photo,travel,"super love",2020-12-27,75
photo,travel,worried,2021-05-21,12
photo,travel,heart,2021-02-24,60
photo,travel,like,2021-06-14,50
photo,travel,heart,2020-10-20,60
photo,travel,want,2020-12-09,70
photo,travel,indifferent,2021-02-01,20
photo,travel,love,2020-12-06,65
photo,travel,peeking,2020-08-28,35
photo,travel,heart,2020-10-12,60
photo,travel,peeking,2020-12-06,35
photo,travel,love,2020-12-14,65
photo,travel,adore,2020-09-27,72
photo,travel,want,2020-11-04,70
photo,travel,"super love",2020-12-18,75
photo,travel,intrigued,2020-12-20,45
photo,travel,adore,2021-04-03,72
photo,travel,adore,2021-01-16,72
photo,travel,love,2021-04-19,65
GIF,food,dislike,2020-08-06,10
GIF,food,worried,2021-05-05,12
GIF,food,indifferent,2021-05-10,20
GIF,food,interested,2021-04-13,30
GIF,food,hate,2020-12-28,5
GIF,food,peeking,2021-02-03,35
GIF,food,cherish,2020-11-22,70
GIF,food,dislike,2020-12-03,10
GIF,food,worried,2020-09-10,12
GIF,food,interested,2021-04-24,30
GIF,food,adore,2020-10-12,72
GIF,food,love,2021-02-24,65
GIF,food,love,2020-11-01,65
GIF,food,adore,2020-11-22,72
GIF,food,scared,2020-08-14,15
GIF,food,intrigued,2021-06-01,45
GIF,food,worried,2020-06-22,12
GIF,food,cherish,2020-12-31,70
GIF,food,worried,2021-02-24,12
GIF,food,adore,2020-07-20,72
GIF,food,hate,2020-12-15,5
GIF,food,interested,2021-01-18,30
GIF,food,love,2020-07-29,65
GIF,food,heart,2021-01-25,60
GIF,food,heart,2020-12-22,60
GIF,food,scared,2020-12-31,15
GIF,food,adore,2020-11-30,72
GIF,food,interested,2021-03-15,30
GIF,food,peeking,2021-04-21,35
GIF,food,interested,2020-08-20,30
GIF,food,love,2020-11-27,65
GIF,food,dislike,2021-02-27,10
GIF,food,worried,2021-05-16,12
GIF,food,peeking,2020-09-16,35
audio,dogs,cherish,2021-01-20,70
audio,dogs,want,2021-04-23,70
audio,dogs,heart,2020-12-21,60
audio,dogs,like,2021-05-07,50
audio,dogs,scared,2021-05-23,15
audio,dogs,"super love",2021-05-31,75
audio,dogs,hate,2021-05-05,5
audio,dogs,heart,2021-03-12,60
audio,dogs,hate,2020-08-15,5
audio,dogs,adore,2021-04-14,72
audio,dogs,indifferent,2021-03-19,20
audio,dogs,interested,2020-08-17,30
audio,dogs,worried,2020-12-10,12
GIF,science,interested,2021-04-03,30
GIF,science,worried,2021-03-19,12
GIF,science,love,2021-05-18,65
GIF,science,cherish,2021-03-14,70
GIF,science,adore,2020-07-02,72
GIF,science,interested,2020-09-19,30
GIF,science,love,2021-04-05,65
GIF,science,love,2021-05-27,65
GIF,science,intrigued,2021-01-09,45
GIF,science,adore,2021-04-15,72
GIF,science,like,2020-09-07,50
GIF,science,love,2020-11-23,65
GIF,science,adore,2021-05-13,72
GIF,science,interested,2021-03-01,30
GIF,science,cherish,2020-08-17,70
GIF,science,indifferent,2020-06-30,20
GIF,science,indifferent,2021-04-30,20
GIF,science,indifferent,2020-08-09,20
GIF,science,scared,2021-01-31,15
GIF,science,heart,2020-08-17,60
GIF,science,hate,2021-02-21,5
GIF,science,interested,2020-10-19,30
GIF,science,peeking,2021-06-18,35
GIF,science,like,2020-09-03,50
GIF,science,heart,2021-03-09,60
GIF,science,peeking,2020-06-23,35
GIF,science,peeking,2021-03-18,35
GIF,science,heart,2020-09-06,60
GIF,science,peeking,2021-03-04,35
GIF,science,love,2020-10-12,65
GIF,science,love,2021-05-07,65
GIF,science,heart,2020-07-20,60
GIF,science,adore,2021-04-29,72
GIF,science,hate,2021-04-29,5
GIF,science,dislike,2021-02-13,10
GIF,science,indifferent,2020-08-23,20
GIF,science,cherish,2020-10-09,70
GIF,science,want,2021-06-08,70
GIF,science,worried,2020-11-17,12
GIF,science,worried,2021-04-18,12
GIF,science,adore,2021-01-14,72
GIF,science,intrigued,2021-05-14,45
GIF,science,hate,2020-08-24,5
GIF,science,hate,2021-02-14,5
GIF,veganism,adore,2021-02-23,72
GIF,veganism,intrigued,2021-01-17,45
GIF,veganism,hate,2021-05-19,5
GIF,veganism,worried,2020-10-29,12
GIF,veganism,dislike,2020-07-20,10
GIF,veganism,intrigued,2021-03-14,45
GIF,veganism,peeking,2020-07-29,35
GIF,veganism,worried,2021-01-09,12
GIF,veganism,like,2020-06-27,50
GIF,veganism,scared,2020-12-07,15
GIF,veganism,peeking,2021-05-10,35
GIF,veganism,interested,2021-02-04,30
GIF,veganism,heart,2020-09-30,60
GIF,veganism,worried,2021-02-02,12
GIF,veganism,want,2021-05-03,70
GIF,veganism,like,2021-05-10,50
GIF,veganism,"super love",2020-10-07,75
GIF,veganism,indifferent,2020-10-25,20
GIF,veganism,scared,2021-04-10,15
GIF,veganism,hate,2021-01-03,5
GIF,veganism,like,2021-04-29,50
GIF,veganism,heart,2021-05-07,60
GIF,veganism,intrigued,2021-02-09,45
GIF,veganism,love,2021-01-02,65
GIF,veganism,love,2020-08-02,65
GIF,veganism,heart,2021-01-11,60
GIF,veganism,adore,2020-11-26,72
GIF,veganism,like,2020-11-14,50
GIF,veganism,indifferent,2020-08-16,20
GIF,veganism,worried,2020-09-28,12
GIF,veganism,peeking,2021-04-12,35
GIF,veganism,indifferent,2021-02-11,20
GIF,veganism,dislike,2021-01-12,10
GIF,veganism,love,2021-04-18,65
GIF,veganism,cherish,2021-03-29,70
GIF,veganism,"super love",2020-08-27,75
GIF,veganism,interested,2021-03-14,30
GIF,veganism,adore,2021-02-14,72
photo,"healthy eating",cherish,2020-06-28,70
photo,"healthy eating",adore,2020-12-09,72
photo,"healthy eating",hate,2021-03-27,5
photo,"healthy eating","super love",2021-04-17,75
photo,"healthy eating",adore,2020-07-05,72
photo,"healthy eating",dislike,2021-05-08,10
photo,"healthy eating",like,2020-10-02,50
photo,"healthy eating",interested,2021-01-04,30
photo,"healthy eating",intrigued,2021-06-06,45
photo,"healthy eating",dislike,2020-12-06,10
photo,"healthy eating","super love",2020-10-02,75
photo,"healthy eating",cherish,2020-11-02,70
photo,"healthy eating",worried,2020-12-10,12
photo,"healthy eating",want,2021-04-15,70
photo,"healthy eating",hate,2020-12-13,5
photo,"healthy eating","super love",2020-06-21,75
photo,"healthy eating",scared,2020-08-18,15
photo,"healthy eating",adore,2021-03-19,72
photo,"healthy eating",cherish,2020-11-26,70
photo,"healthy eating",want,2021-02-20,70
